classCol,mz50,mz51,mz52,mz53,mz54,mz55,mz56,mz57,mz58,mz59,mz60,mz61,mz62,mz63,mz64,mz65,mz66,mz67,mz68,mz69,mz70,mz71,mz72,mz73,mz74,mz75,mz76,mz77,mz78,mz79,mz80,mz81,mz82,mz83,mz84,mz85,mz86,mz87,mz88,mz89,mz90,mz91,mz92,mz93,mz94,mz95,mz96,mz97,mz98,mz99,mz100,mz101,mz102,mz103,mz104,mz105,mz106,mz107,mz108,mz109,mz110,mz111,mz112,mz113,mz114,mz115,mz116,mz117,mz118,mz119,mz120,mz121,mz122,mz123,mz124,mz125,mz126,mz127,mz128,mz129,mz130,mz131,mz132,mz133,mz134,mz135,mz136,mz137,mz138,mz139,mz140,mz141,mz142,mz143,mz144,mz145,mz146,mz147,mz148,mz149,mz150,mz151,mz152,mz153,mz154,mz155,mz156,mz157,mz158,mz159,mz160,mz161,mz162,mz163,mz164,mz165,mz166,mz167,mz168,mz169,mz170,mz171,mz172,mz173,mz174,mz175,mz176,mz177,mz178,mz179,mz180,mz181,mz182,mz183,mz184,mz185,mz186,mz187,mz188,mz189,mz190,mz191,mz192,mz193,mz194,mz195,mz196,mz197,mz198,mz199,mz200,mz201,mz202,mz203,mz204,mz205,mz206,mz207,mz208,mz209,mz210,mz211,mz212,mz213,mz214,mz215,mz216,mz217,mz218,mz219,mz220,mz221,mz222,mz223,mz224,mz225,mz226,mz227,mz228,mz229,mz230,mz231,mz232,mz233,mz234,mz235,mz236,mz237,mz238,mz239,mz240,mz241,mz242,mz243,mz244,mz245,mz246,mz247,mz248,mz249,mz250,mz251,mz252,mz253,mz254,mz255,mz256,mz257,mz258,mz259,mz260,mz261,mz262,mz263,mz264,mz265,mz266,mz267,mz268,mz269,mz270,mz271,mz272,mz273,mz274,mz275,mz276,mz277,mz278,mz279,mz280,mz281,mz282,mz283,mz284,mz285,mz286,mz287,mz288,mz289,mz290,mz291,mz292,mz293,mz294,mz295,mz296,mz297,mz298,mz299,mz300,mz301,mz302,mz303,mz304,mz305,mz306,mz307,mz308,mz309,mz310,mz311,mz312,mz313,mz314,mz315,mz316,mz317,mz318,mz319,mz320,mz321,mz322,mz323,mz324,mz325,mz326,mz327,mz328,mz329,mz330,mz331,mz332,mz333,mz334,mz335,mz336,mz337,mz338,mz339,mz340,mz341,mz342,mz343,mz344,mz345,mz346,mz347,mz348,mz349,mz350,mz351,mz352,mz353,mz354,mz355,mz356,mz357,mz358,mz359,mz360,mz361,mz362,mz363,mz364,mz365,mz366,mz367,mz368,mz369,mz370,mz371,mz372,mz373,mz374,mz375,mz376,mz377,mz378,mz379,mz380,mz381,mz382,mz383,mz384,mz385,mz386,mz387,mz388,mz389,mz390,mz391,mz392,mz393,mz394,mz395,mz396,mz397,mz398,mz399,mz400,mz401,mz402,mz403,mz404,mz405,mz406,mz407,mz408,mz409,mz410,mz411,mz412,mz413,mz414,mz415,mz416,mz417,mz418,mz419,mz420,mz421,mz422,mz423,mz424,mz425,mz426,mz427,mz428,mz429,mz430,mz431,mz432,mz433,mz434,mz435,mz436,mz437,mz438,mz439,mz440,mz441,mz442,mz443,mz444,mz445,mz446,mz447,mz448,mz449,mz450,mz451,mz452,mz453,mz454,mz455,mz456,mz457,mz458,mz459,mz460,mz461,mz462,mz463,mz464,mz465,mz466,mz467,mz468,mz469,mz470,mz471,mz472,mz473,mz474,mz475,mz476,mz477,mz478,mz479,mz480,mz481,mz482,mz483,mz484,mz485,mz486,mz487,mz488,mz489,mz490,mz491,mz492,mz493,mz494,mz495,mz496,mz497,mz498,mz499,mz500,mz501,mz502,mz503,mz504,mz505,mz506,mz507,mz508,mz509,mz510,mz511,mz512,mz513,mz514,mz515,mz516,mz517,mz518,mz519,mz520,mz521,mz522,mz523,mz524,mz525,mz526,mz527,mz528,mz529,mz530,mz531,mz532,mz533,mz534,mz535,mz536,mz537,mz538,mz539,mz540,mz541,mz542,mz543,mz544,mz545,mz546,mz547,mz548,mz549,mz550,mz551,mz552,mz553,mz554,mz555,mz556,mz557,mz558,mz559,mz560,mz561,mz562,mz563,mz564,mz565,mz566,mz567,mz568,mz569,mz570,mz571,mz572,mz573,mz574,mz575,mz576,mz577,mz578,mz579,mz580,mz581,mz582,mz583,mz584,mz585,mz586,mz587,mz588,mz589,mz590,mz591,mz592,mz593,mz594,mz595,mz596,mz597,mz598,mz599
Lipids,0,0,0,43,101,484,88,61,18,25,11,61,0,0,0,16,13,222,88,231,46,25,42,1000,106,987,71,57,9,72,37,210,114,151,177,33,13,8,8,30,5,36,11,49,33,164,220,141,172,37,0,13,0,6,0,31,8,29,23,94,99,60,36,9,0,8,95,929,90,64,11,32,14,87,45,21,7,8,9,787,98,148,173,67,26,23,10,61,43,14,0,20,9,48,9,337,43,34,12,9,5,37,100,21,0,50,13,27,11,29,5,12,0,5,0,24,19,7,6,19,11,52,21,27,7,8,0,0,0,17,8,6,0,24,6,90,24,24,10,5,0,0,29,32,152,27,0,9,0,88,17,27,5,0,0,0,0,16,23,0,0,10,0,26,6,9,0,0,7,0,0,0,0,0,0,6,0,28,6,14,6,0,0,0,0,0,81,16,0,6,0,16,0,9,10,0,0,0,0,0,0,0,0,7,0,10,0,0,6,0,0,0,0,0,0,0,0,16,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,235,61,8,0,0,0,0,0,0,0,0,0,0,0,54,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steroids,0,50,43,230,111,230,37,0,19,36,6,0,0,0,0,116,104,271,121,0,26,32,19,146,41,9,18,400,147,439,157,177,57,30,25,17,17,0,9,31,32,638,146,239,186,93,61,28,23,12,0,11,0,140,165,326,96,99,196,119,0,44,28,0,0,206,166,332,145,154,241,132,83,25,84,514,113,70,146,159,209,232,156,142,195,51,192,33,86,60,80,0,88,200,204,144,181,69,93,81,65,116,866,136,54,51,99,0,0,167,338,0,77,0,80,48,0,108,62,0,53,66,97,51,69,39,295,29,49,0,19,0,44,45,58,0,131,129,126,38,0,122,77,0,71,0,20,37,0,0,0,0,0,12,0,21,22,0,0,39,0,0,42,0,29,0,22,0,40,0,31,72,28,43,46,40,43,0,0,10,7,9,7,10,19,22,25,40,0,39,40,21,39,6,0,0,0,6,10,0,0,0,87,94,17,0,18,10,0,0,6,0,26,49,35,0,29,0,53,0,0,0,28,9,0,0,0,21,25,32,160,186,32,43,28,16,8,0,0,0,0,0,0,8,9,0,0,39,16,0,22,0,0,0,0,0,0,0,0,16,11,25,41,25,188,0,0,0,0,0,0,0,0,0,0,0,17,275,41,94,32,0,0,0,0,0,0,0,0,0,0,54,6,105,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,379,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steroids,0,38,33,174,85,197,37,19,22,46,7,0,0,18,19,148,89,210,98,62,17,28,11,0,23,0,9,307,107,327,125,143,54,24,23,23,10,10,0,24,26,545,131,177,119,78,37,24,22,0,8,8,21,120,135,260,129,95,131,74,61,30,41,14,11,169,141,290,207,180,266,131,84,27,36,108,38,55,120,124,172,204,187,152,154,77,74,29,48,32,35,52,73,179,273,178,141,102,62,55,79,92,611,88,32,40,80,70,234,207,506,116,61,36,49,28,24,40,39,37,75,49,73,36,47,24,417,61,24,0,18,25,33,35,60,48,98,112,114,24,55,544,114,80,31,31,37,32,50,28,44,21,31,0,18,0,0,0,39,36,34,32,41,25,25,0,22,30,47,16,15,44,29,32,39,32,40,19,19,0,0,0,10,0,13,13,28,26,29,29,34,15,43,12,10,0,0,0,0,0,19,29,31,52,29,0,11,25,10,0,0,7,10,11,0,26,14,54,32,17,13,0,22,7,0,0,0,20,12,28,0,46,0,0,0,99,28,6,0,0,0,0,0,7,5,59,24,23,12,42,13,0,0,0,0,0,0,0,0,0,0,30,18,0,59,25,0,0,0,0,0,0,0,0,0,0,0,165,64,53,15,0,0,0,0,0,0,0,0,0,0,0,0,54,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,225,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptides,0,0,0,0,39,55,205,0,0,93,45,774,65,44,0,0,0,0,13,0,43,0,26,1000,127,684,63,50,0,0,0,0,0,20,143,620,52,0,30,0,0,159,0,0,0,0,0,0,213,28,55,0,196,0,122,0,0,0,0,0,0,61,0,0,29,0,56,38,0,12,0,0,0,0,0,0,0,0,44,59,95,0,72,0,0,0,0,0,0,0,0,0,24,0,170,0,32,0,0,0,0,0,0,0,0,0,0,81,114,151,75,23,0,0,0,0,0,0,0,0,0,0,0,0,0,982,93,44,0,0,0,0,0,0,0,0,122,21,136,67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptides,0,0,0,0,39,0,0,0,0,47,0,432,13,28,0,0,0,0,21,0,0,24,45,1000,97,306,33,0,0,0,0,0,0,0,0,63,25,35,0,0,0,0,0,0,0,0,0,0,0,19,233,39,0,0,0,0,0,0,0,0,0,0,0,0,27,35,0,24,0,0,0,0,0,0,0,0,0,0,0,336,0,52,0,0,0,0,0,0,0,0,0,0,117,40,0,24,0,179,36,26,0,0,0,0,0,0,67,414,98,39,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16,0,0,0,0,0,0,0,0,0,0,31,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,124,0,29,0,0,0,0,0,0,0,0,0,301,72,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,22,13,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptides,0,0,0,0,5,8,40,51,17,14,7,20,0,0,0,0,0,0,0,118,25,0,5,161,66,162,14,6,0,0,0,0,0,0,7,6,1000,79,6,0,0,8,0,0,0,0,5,0,0,0,0,0,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,13,0,0,0,0,0,0,0,0,0,0,18,6,0,0,73,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptides,0,0,0,0,0,6,5,20,10,39,6,5,0,0,0,0,0,0,0,13,0,0,10,464,47,49,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,47,9,11,11,0,0,0,0,0,0,0,0,0,0,11,5,0,7,0,0,0,0,0,0,0,0,0,0,16,9,8,10,15,21,0,0,0,0,0,0,0,0,12,8,0,0,5,102,16,9,0,0,0,0,0,0,0,0,1000,144,45,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,38,17,0,0,0,0,0,0,0,0,0,0,0,51,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbohydrates,0,0,0,0,0,8,0,0,0,17,0,0,0,0,0,0,0,0,0,9,0,0,0,897,76,59,0,0,0,0,0,6,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,21,36,16,152,15,30,0,0,0,0,0,0,0,9,9,10,26,98,11,8,0,0,0,0,0,0,0,6,0,147,27,42,11,71,9,8,0,0,0,0,0,5,9,27,0,14,0,435,67,49,6,0,0,0,0,17,5,30,9,0,236,89,18,18,0,0,0,0,0,80,14,11,7,12,6,10,0,8,0,0,0,0,0,6,0,0,0,5,0,78,20,130,24,18,0,0,0,0,0,6,0,7,0,41,691,180,68,33,7,0,0,0,0,0,0,13,27,411,111,51,10,29,7,0,0,0,0,0,9,27,19,64,18,23,9,0,0,0,0,0,0,10,7,90,28,26,17,20,5,0,0,0,0,0,0,0,0,10,0,18,6,0,21,7,0,6,0,0,0,8,0,100,24,14,17,13,9,12,6,0,0,0,0,0,0,0,0,0,0,5,0,50,15,8,0,0,0,0,0,0,13,0,0,0,7,57,25,34,9,0,0,0,0,0,0,0,0,16,10,74,23,12,0,0,0,0,0,0,0,0,0,44,20,13,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,328,158,61,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbohydrates,0,0,0,0,0,6,0,0,0,22,0,0,0,0,0,0,0,0,0,9,0,0,0,1000,81,64,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,0,0,0,0,0,0,0,0,5,21,38,16,228,22,21,0,0,0,0,0,0,0,8,5,7,26,94,13,12,0,0,0,0,0,0,0,6,0,149,23,40,0,93,11,0,0,0,0,0,0,5,0,23,5,13,0,456,72,51,0,0,0,0,0,16,0,25,7,0,170,82,12,17,0,0,0,0,0,68,11,13,0,10,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,68,18,122,24,0,0,0,0,0,0,6,0,0,0,0,566,162,57,47,0,0,0,0,0,0,0,9,0,358,99,50,11,32,0,0,0,0,0,0,0,21,16,36,11,31,0,28,7,0,0,0,0,9,7,77,19,23,10,16,0,0,0,0,0,0,0,0,0,8,0,17,5,0,0,0,0,0,0,0,0,0,0,79,22,30,14,14,0,14,7,0,0,0,0,0,0,0,0,0,0,6,0,48,14,7,0,0,0,0,0,0,0,0,0,5,0,55,20,31,8,0,0,0,0,0,0,0,0,14,0,57,17,12,0,0,0,0,0,0,0,0,0,37,19,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,255,139,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steroids,0,0,0,0,0,14,0,0,0,25,0,8,0,0,0,0,0,12,0,5,0,5,0,1000,83,98,6,10,0,15,0,22,0,0,0,0,0,0,0,0,0,17,0,17,5,11,0,0,0,0,0,11,0,44,6,17,0,12,0,8,0,0,0,5,0,29,8,26,0,11,0,5,0,0,0,0,0,8,16,160,21,36,5,49,7,8,0,0,0,0,0,18,7,29,5,11,0,210,35,30,0,6,0,7,0,22,8,8,0,8,0,14,0,26,6,16,5,15,6,13,0,6,0,0,0,8,0,30,10,23,12,10,11,18,0,11,0,10,0,32,8,15,9,11,0,6,0,0,0,9,6,27,8,50,26,76,17,8,0,0,0,0,0,7,5,27,16,50,50,23,5,0,0,0,0,0,0,8,0,61,27,84,45,13,0,0,0,0,0,9,0,10,9,25,47,25,7,0,0,0,0,6,0,11,7,33,19,41,19,7,0,0,0,0,0,0,0,14,20,37,89,41,17,5,0,0,0,0,0,0,0,17,16,59,29,48,32,8,0,0,0,0,0,0,0,42,73,123,45,32,9,0,0,0,0,0,0,0,0,25,20,170,44,14,0,0,0,0,0,0,0,0,0,15,59,38,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,176,52,20,0,0,0,0,0,0,0,0,0,0,0,6,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,104,49,19,5,0,0,0,0,0,0,0,0,0,17,6,5,0,0,0,0,0,0,0,0,0,0,0,0,38,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,172,80,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
